id,jobPosition,number,workAddr,educationNorm,specialtyNorm,postNum,deptName
BEEF97B4-9D71-4B27-AE01-CBFE69F95125,炼油化工装置技能操作岗,70,安徽省安庆市,大专（高职）,"炼油化工类：应用化工技术、有机化工生产技术、高聚物生产技术、高分子材料应用技术、高分子合成技术、化纤生产技术、精细化工(化学品生产)技术、石油化工生产技术、石油炼制技术、石油化工技术、煤化工技术、应用化工技术、生物化工工艺、生化制药技术、化学制药技术、油气储运技术、给排水工程技术、水工业技术等专业；
能源与设备类：热能动力设备与应用、制冷（空调）与冷藏技术、发电厂及电力系统、电厂设备运行与维护、电厂热能动力装置、火电厂集控运行、供用（配）电技术、电力系统继电保护与自动化、电厂化学等专业；
电气仪表自控类：化工自动化技术、工业过程自动化技术、工业自动化仪表、智能控制技术、电气自动化技术、生产过程自动化技术（过程控制）等专业；
机械设备类：自动化生产设备应用、机械制造与自动化、焊接技术及自动化、机电一体化技术、材料工程技术、机电设备技术（维修）、化工装备技术、化工设备维修技术、数控技术等专业；
安全环保类：环境监测技术、环境监测与分析（治理）、分析检验技术、质量检测技术、检测技术及应用、理化测试及质检技术（无损检测）、煤质分析技术、环境工程技术、工业环保与安全技术、化工安全技术等专业。",383,安庆石化
0183C501-B7A5-4ECF-9DCE-5EE10A1E0010,设备动力技术储备岗,60,河南洛阳,本科、硕士研究生,过程装备与控制工程、机械设计及其自动化、机械工程及自动化、化工过程机械、机械电子工程、机械工程、动力工程及工程热物理、能源与动力工程、热能工程、油气储运工程等相关专业。,330,洛阳石化
100EC4FC-9858-4462-B86B-09C5DA80E2BA,锅炉汽机运行技术操作岗,2,青岛市黄岛区,本科,热能与动力工程（电厂锅炉方向）,11,青岛炼化公司
CB4E7A73-B003-4489-92E9-F0E31D89575E,工程应力设计岗,2,广州,硕士研究生,工程力学；工程分析与计算力学等相关专业,11,广州（洛阳）工程
72C62A2D-1AFB-4E29-A002-0733FD2D4343,工艺技术储备岗,86,河南洛阳,本科、硕士研究生,化学工程、化学工艺、化学工程与技术、化学工程与工艺、应用化学、化学、分析化学、有机化学、材料与化工、高分子材料与工程等相关专业。,483,洛阳石化
F407D7E5-7CB0-4CB6-B531-0F2D43687D51,焊接技能操作岗,5,宁波,大专（高职）,机电设备技术；智能焊接技术；焊接技术与工程及相关专业,28,宁波工程公司
4120A607-BFEA-4D76-B789-8AE899230672,炼油化工装置生产操作岗,19,湖北荆门,大专（高职）,"1.应用化工技术、石油炼制技术、石油化工技术、高分子合成技术、精细化工技术、化工装备技术、化工自动化技术，油气储运技术，环境工程技术；
2.机械设计与制造、机械制造与自动化、机电一体化技术、工业过程自动化技术、智能控制技术、工业自动化仪表，供用电技术、电气自动化技术、电力系统自动化技术、电力系统继电保护与自动化技术；",109,荆门石化
DCAC2E3D-C731-4BD8-B1D8-B90B29D9FDA2,催化剂技能操作岗（岳阳）,9,岳阳,大专（高职）,电气自动化技术、高分子材料与工程、高分子材料工程技术、工业分析技术、工业分析与检验、工业过程自动化、焊接技术及自动化、化工设备维修技术、化工装备技术、化工自动化技术、生产过程自动化技术、自动化生产设备应用、机械设计与制造、机械制造与自动化、化学工程与工艺、机电设备维修与管理、机电一体化技术、精细化工、精细化工技术、精细化学品生产技术、石油化工生产技术、应用化工技术、应用化学、石油化工技术、石油化工生产技术、有机化工生产技术、安全技术、智能制造技术、材料工程技术,52,催化剂公司
1B937460-145A-4363-A6D2-03FE73575D0F,装置运行储备岗,20,济南,大专（高职）,应用化工技术、石油炼制技术、石油化工生产技术、精细化学品生产技术、高分子材料应用技术、有机化工生产技术、化工设备维修技术、油气储运技术、热能与动力工程、机械制造与自动化、机械设计与制造等相关专业,116,济南炼化
2CF43C36-69B4-4E70-888E-AC7C89CCB7B5,设备管道工程师岗,10,项目所在地,本科、硕士研究生,过程装备与控制工程；机械工程；机械设计制造及其自动化；材料成型及控制工程；油气储运工程；化工过程机械；动力机械及工程等相关专业,60,南京工程公司
153BBE7B-77FC-4A91-B751-CE5F8BB33756,生产操作岗1,35,广州,本科,化学工程与工艺、化学工程与技术、能源化学工程、高分子材料与工程、材料科学与工程等相关专业,205,广州石化
798F9CE9-E52C-4381-BD8C-914781E639CC,安装工程技术岗,50,各分公司、专业公司项目所在地,本科,机械工程、机械设计制造及其自动化、机械电子工程、过程装备与控制工程、材料成型及控制工程、金属材料工程、焊接技术与工程、智能制造、能源与动力工程、石油工程、新能源科学与工程、化学工程与工艺、油气加工与储运工程、能源化学工程、电气工程及其自动化、智能电网信息工程、测控技术与仪器、自动化。,293,第五建设公司
88BBE726-0DE2-46B4-9654-80E72F06C5EF,安装专业工程师岗,12,宁波、项目所在地,本科、硕士研究生,过程装备与控制工程；机械设计制造及其自动化；机械工程及自动化；智能制造工程及相关专业,71,宁波工程公司
